ID,sscore
1,0.7640252917026786
2,0.7365076637160616
3,0.18095795216373992
4,0.4441463568655445
5,0.23687027348938997
6,0.14025697590596412
7,0.4387679458978636
8,0.13727822188120095
9,0.7681004130349564
10,0.5795144910743744
11,0.6553058426342423
12,0.222826638634334
13,0.5509331997811483
14,0.6106065132614393
15,0.30323211026047775
16,0.7537164039546361
17,0.46848291052270064
18,0.6406355109763154
19,0.7905937965875814
20,0.3407021363824199
21,0.14566523437781015
22,0.2804731127259583
23,0.08504879765150357
24,0.32446053505314426
25,0.5468756082398186
26,0.312288812854556
27,0.5122046878492206
28,0.5057594051140815
29,0.5722135094987654
30,0.8560107452053709
31,0.17597266489205718
32,0.8445895651707622
33,0.3526489572574074
34,0.6124476176153648
35,0.23858416641992883
36,0.2356793586076696
37,0.20821342904788187
38,0.4082226334310602
39,0.39612785090066277
40,0.4096171117524419
41,0.8735948807650981
42,0.10951398726157313
43,0.26635014454771744
44,0.6802261079620895
45,0.6999256438865247
46,0.5785219005304144
47,0.2360972833402906
48,0.7621687037327761
49,0.20329688457961684
50,0.5526354772811334
51,0.34244135931562164
52,0.18189442887960106
53,0.805451757564171
54,0.8262732018016261
55,0.5707427488097396
56,0.8424293288747501
57,0.3150633706289444
58,0.7901999076243496
59,0.9058041849433431
60,0.8127617899228984
61,0.89320135736025
62,0.6255527305734278
63,0.901510623998152
64,0.11341923534070124
65,0.8528074071128607
66,0.6394609758827103
67,0.5547770396072749
68,0.2095050373492993
69,0.34558783294191275
70,0.5985349268625649
71,0.4572189776550182
72,0.8293801746781149
73,0.7013339648760843
74,0.8961453034393208
75,0.6311906899350477
76,0.509511051815509
77,0.4982385776928465
78,0.5354823700216769
79,0.3820288585331161
80,0.16988752161400575
81,0.16473181975289644
82,0.8508154139556815
83,0.28076320172367897
84,0.8609839665078438
85,0.8763109260904933
86,0.8565820577860939
87,0.41772951849425505
88,0.1511719346711996
89,0.28176010262130013
90,0.8649111763912629
91,0.774590268094889
